asset_id,asset_type,building,criticality,asset_age_years,previous_failures,days_since_maintenance,maintenance_count_12m,complaints_30d,severity,usage_hours_day,failure_next_30d
AST-0001,Civil,Block C,Critical,4.1,1,168,4,0,3,23.8,1
AST-0002,Plumbing,Science Block,High,4.3,1,202,0,1,5,9.3,0
AST-0003,Plumbing,Auditorium,High,9.4,5,19,3,1,4,5.2,1
AST-0004,Furniture,Block B,Medium,5.7,2,50,0,1,3,4.8,0
AST-0005,Lab Equipment,Block A,High,5.9,4,84,2,1,2,22.2,1
AST-0006,Electrical,Block A,Low,3.7,3,53,2,0,1,13.5,0
AST-0007,Furniture,Auditorium,High,0.7,0,304,1,0,5,20,0
AST-0008,HVAC,Block A,Medium,7.1,3,292,4,0,2,4.4,1
AST-0009,HVAC,Girls Hostel,Critical,6.3,4,108,0,1,1,19.4,1
AST-0010,Electrical,Block A,Low,1.1,2,273,4,1,3,8.6,0
AST-0011,Plumbing,Block B,Medium,5,2,255,0,0,5,14.2,1
AST-0012,Elevator,Block B,Critical,1,1,110,3,1,5,15.2,1
AST-0013,Security/CCTV,Boys Hostel,High,2.6,3,185,1,0,2,22.7,1
AST-0014,Electrical,Boys Hostel,High,5.2,3,159,2,0,1,23,1
AST-0015,Furniture,Main Library,Low,8.1,3,48,2,1,5,23.5,1
AST-0016,HVAC,Science Block,Low,7.2,3,198,4,1,4,6.9,1
AST-0017,Lab Equipment,Block B,High,8.4,4,99,0,0,1,20.4,1
AST-0018,HVAC,Science Block,Medium,7.4,2,49,2,1,1,11.4,0
AST-0019,Security/CCTV,Block A,High,6.9,3,16,0,1,1,9.4,1
AST-0020,Furniture,Auditorium,High,5,3,242,0,1,1,14.5,1
AST-0021,HVAC,Block A,High,6.1,3,278,2,2,4,22.5,1
AST-0022,HVAC,Block C,Low,3.7,2,208,1,0,3,21.1,1
AST-0023,Plumbing,Block A,Medium,1.9,0,112,0,0,3,17,0
AST-0024,Elevator,Girls Hostel,Critical,6.1,4,58,1,0,1,6.4,1
AST-0025,Civil,Girls Hostel,Medium,5.9,4,51,2,0,4,22.8,1
AST-0026,Electrical,Girls Hostel,High,4.7,2,18,3,1,5,20.7,0
AST-0027,HVAC,Boys Hostel,Critical,8.5,6,345,1,0,3,12.7,1
AST-0028,Plumbing,Block C,Low,2.1,1,175,1,0,4,6.1,0
AST-0029,Furniture,Girls Hostel,High,0.9,0,173,0,1,4,10.9,1
AST-0030,Civil,Science Block,Low,3.6,0,124,1,0,4,16.9,1
AST-0031,Civil,Main Library,Low,1,0,186,3,2,5,22.7,1
AST-0032,Electrical,Auditorium,Medium,4.7,3,152,2,1,2,16.9,1
AST-0033,HVAC,Block B,Medium,2.5,0,145,0,0,4,16.8,1
AST-0034,Civil,Main Library,Medium,4.5,2,227,2,0,1,15.6,0
AST-0035,Civil,Block A,Low,5.9,2,84,0,2,5,21.2,1
AST-0036,Elevator,Girls Hostel,Low,9.5,6,233,1,0,5,8.2,0
AST-0037,Lab Equipment,Block B,High,9.1,5,273,1,0,1,18.4,1
AST-0038,Furniture,Boys Hostel,Low,4.9,2,357,1,0,1,16.5,1
AST-0039,Lab Equipment,Block B,Medium,6.7,4,20,2,0,1,21.2,1
AST-0040,HVAC,Science Block,Medium,3,2,301,2,0,1,19.6,1
AST-0041,Electrical,Science Block,Critical,5.3,4,48,3,0,3,5,0
AST-0042,HVAC,Block B,Low,4.1,1,290,0,0,5,8.8,0
AST-0043,Plumbing,Block A,High,2.5,0,36,3,1,1,4.6,1
AST-0044,Electrical,Block A,High,9.9,5,327,1,0,2,23.3,1
AST-0045,HVAC,Boys Hostel,Low,6.3,3,78,1,0,3,18.4,1
AST-0046,Lab Equipment,Main Library,Medium,8.6,4,214,1,3,3,5.2,1
AST-0047,Furniture,Block C,Medium,9.4,3,19,3,2,4,9.3,1
AST-0048,HVAC,Block B,Medium,5.7,3,82,4,1,1,18.6,1
AST-0049,Security/CCTV,Girls Hostel,Low,7,3,100,0,0,3,18.1,1
